Year,maxT much above normal,maxT much below normal,minT much above normal,minT much below normal,precip much above normal,precip much below normal,Season,Region
2015,0.0,0.5,0.0,0.0,0.0,2.9,Winter,Southeast
2016,9.4,0.0,65.9,0.0,12.5,3.1,Winter,Southeast
2017,99.9,0.0,99.2,0.0,10.2,8.1,Winter,Southeast
2018,2.4,0.0,11.0,0.0,0.0,8.8,Winter,Southeast
2019,6.3,0.0,84.1,0.0,32.0,0.0,Winter,Southeast
2020,55.0,0.0,92.6,0.0,48.2,3.0,Winter,Southeast
2021,0.0,0.0,0.7,0.0,19.1,0.0,Winter,Southeast
2022,83.8,0.0,13.0,0.0,4.4,12.9,Winter,Southeast
1910,19.5,0.0,0.7,11.4,0.0,33.7,Spring,Southeast
1911,8.4,0.6,0.0,5.8,0.0,11.1,Spring,Southeast
1912,0.1,0.1,15.6,0.0,31.8,3.1,Spring,Southeast
1913,0.2,1.7,0.7,0.0,0.0,5.8,Spring,Southeast
1914,0.0,7.0,0.0,26.9,0.0,39.4,Spring,Southeast
1915,0.0,39.2,0.0,42.0,0.0,33.1,Spring,Southeast
1916,0.0,1.7,0.0,12.6,0.0,38.2,Spring,Southeast
1917,0.0,9.2,0.0,14.4,0.0,13.1,Spring,Southeast
1918,11.8,0.1,20.6,0.0,2.4,17.5,Spring,Southeast
1919,0.0,0.6,0.0,0.0,8.0,5.2,Spring,Southeast
1920,0.0,64.3,0.0,20.7,20.3,0.0,Spring,Southeast
1921,38.3,0.0,41.3,0.1,2.5,23.5,Spring,Southeast
1922,0.2,0.0,44.9,0.0,28.8,0.0,Spring,Southeast
1923,0.0,4.7,0.1,2.7,38.7,5.2,Spring,Southeast
1924,0.0,82.8,0.0,47.2,7.9,0.0,Spring,Southeast
1925,24.7,1.1,0.0,4.2,0.0,54.3,Spring,Southeast
1926,0.0,59.7,0.0,96.2,2.7,27.7,Spring,Southeast
1927,18.3,0.6,24.2,0.0,2.5,16.9,Spring,Southeast
1928,0.0,31.6,0.0,12.5,20.9,0.0,Spring,Southeast
1929,5.5,0.0,58.6,0.0,28.6,0.0,Spring,Southeast
1930,0.0,12.0,0.0,0.1,11.2,7.8,Spring,Southeast
1931,0.0,98.2,0.0,83.8,5.4,2.7,Spring,Southeast
1932,0.0,6.5,0.0,30.9,0.0,2.4,Spring,Southeast
1933,1.9,0.0,2.2,0.0,2.3,2.4,Spring,Southeast
1934,0.0,2.9,0.0,0.5,25.5,0.0,Spring,Southeast
1935,11.8,0.0,43.4,0.0,17.4,2.5,Spring,Southeast
1936,4.4,0.9,0.0,0.0,2.6,12.3,Spring,Southeast
1937,0.0,6.1,0.0,7.6,2.7,4.9,Spring,Southeast
1938,43.8,0.0,40.6,0.0,9.8,10.5,Spring,Southeast
1939,0.9,0.0,0.0,0.0,12.4,2.4,Spring,Southeast
1940,0.0,23.7,0.0,71.6,2.4,7.4,Spring,Southeast
1941,0.0,7.8,0.0,30.3,0.0,56.8,Spring,Southeast
1942,17.9,1.2,0.2,7.2,0.0,24.1,Spring,Southeast
1943,0.0,0.0,0.0,0.9,0.0,9.8,Spring,Southeast
1944,0.4,0.0,0.0,0.0,16.4,5.2,Spring,Southeast
1945,94.5,0.0,60.3,0.0,2.4,22.3,Spring,Southeast
1946,6.8,0.0,27.2,0.0,12.5,2.5,Spring,Southeast
1947,0.0,20.7,0.0,20.6,7.8,4.8,Spring,Southeast
1948,30.7,0.0,59.9,0.0,12.9,0.0,Spring,Southeast
1949,0.4,0.0,0.0,0.0,2.5,2.6,Spring,Southeast
1950,0.0,3.2,0.0,9.0,9.8,0.0,Spring,Southeast
1951,0.0,0.0,0.0,0.4,4.8,5.0,Spring,Southeast
1952,0.0,0.0,0.0,1.3,0.0,4.8,Spring,Southeast
1953,14.1,0.0,9.6,0.0,5.2,8.0,Spring,Southeast
1954,0.0,0.0,0.0,0.0,0.0,2.4,Spring,Southeast
1955,80.4,0.0,37.8,0.0,0.0,0.0,Spring,Southeast
1956,0.0,0.0,0.0,1.9,0.0,5.1,Spring,Southeast
1957,0.0,0.0,0.4,0.0,33.4,2.4,Spring,Southeast
1958,0.0,66.7,0.0,0.0,31.7,0.0,Spring,Southeast
1959,1.2,0.0,0.0,0.0,35.8,0.0,Spring,Southeast
1960,0.0,90.9,0.0,86.0,5.5,12.9,Spring,Southeast
1961,0.0,27.2,0.0,11.6,4.9,2.7,Spring,Southeast
1962,0.0,0.0,0.0,1.2,0.0,4.9,Spring,Southeast
1963,19.6,0.0,3.6,0.0,0.0,7.3,Spring,Southeast
1964,0.1,0.0,0.0,0.0,2.4,0.0,Spring,Southeast
1965,0.0,0.1,0.0,0.0,10.2,2.6,Spring,Southeast
1966,0.0,19.5,0.0,2.1,5.0,2.3,Spring,Southeast
1967,48.8,0.0,0.3,4.1,0.0,28.4,Spring,Southeast
1968,0.0,0.0,0.0,10.8,2.4,0.0,Spring,Southeast
1969,0.0,37.6,0.0,53.0,2.7,9.7,Spring,Southeast
1970,0.0,0.1,0.1,0.0,4.9,0.0,Spring,Southeast
1971,0.0,44.0,0.0,99.3,0.0,2.5,Spring,Southeast
1972,0.0,1.2,0.0,1.0,19.3,2.4,Spring,Southeast
1973,0.0,1.0,1.0,0.0,50.7,0.0,Spring,Southeast
1974,15.3,0.0,1.2,0.0,2.6,0.0,Spring,Southeast
1975,7.4,5.3,0.0,0.0,37.1,0.0,Spring,Southeast
1976,13.0,0.0,0.0,0.4,13.1,7.1,Spring,Southeast
1977,59.8,0.0,16.6,0.0,0.0,9.8,Spring,Southeast
1978,0.0,11.9,0.0,1.4,2.5,0.0,Spring,Southeast
1979,0.0,0.0,0.0,0.0,9.7,0.0,Spring,Southeast
1980,0.0,12.2,0.5,0.6,33.8,0.0,Spring,Southeast
1981,0.0,0.0,0.0,14.8,0.0,18.2,Spring,Southeast
1982,0.0,0.0,0.3,0.0,10.8,0.0,Spring,Southeast
1983,0.0,80.1,0.0,36.4,19.7,0.0,Spring,Southeast
1984,0.0,35.9,0.0,13.5,19.6,0.0,Spring,Southeast
1985,34.3,0.0,0.8,0.0,0.0,24.5,Spring,Southeast
1986,11.6,0.0,0.0,4.8,0.0,51.0,Spring,Southeast
1987,0.1,4.0,0.0,0.3,7.8,7.4,Spring,Southeast
1988,0.0,0.0,0.0,23.5,0.0,5.0,Spring,Southeast
1989,2.3,2.5,0.0,0.0,19.6,0.0,Spring,Southeast
1990,0.3,0.0,0.7,0.0,7.7,8.2,Spring,Southeast
1991,11.8,0.0,100.0,0.0,60.9,2.4,Spring,Southeast
1992,0.0,5.9,0.0,29.8,7.4,10.3,Spring,Southeast
1993,0.0,56.8,0.0,49.8,2.4,0.0,Spring,Southeast
1994,0.7,0.0,2.5,0.3,0.0,5.0,Spring,Southeast
1995,15.6,0.0,14.0,0.0,0.0,14.7,Spring,Southeast
1996,0.0,3.0,0.0,9.3,2.4,5.0,Spring,Southeast
1997,0.5,0.0,3.9,10.2,2.4,2.4,Spring,Southeast
1998,0.0,0.0,4.8,0.0,16.6,5.0,Spring,Southeast
1999,1.4,0.0,0.0,0.0,0.0,2.6,Spring,Southeast
2000,40.0,0.0,1.7,0.0,2.3,22.7,Spring,Southeast
2001,0.0,0.0,0.0,0.0,2.5,0.0,Spring,Southeast
2002,33.8,0.0,13.2,0.0,2.4,2.7,Spring,Southeast
2003,5.2,0.6,58.3,0.0,46.6,0.0,Spring,Southeast
2004,48.8,0.0,28.8,0.0,2.4,23.0,Spring,Southeast
2005,0.0,27.8,0.0,34.0,7.9,0.0,Spring,Southeast
2006,16.8,0.0,0.1,0.0,0.0,32.4,Spring,Southeast
2007,29.5,0.0,0.0,1.9,0.0,62.6,Spring,Southeast
2008,0.0,0.0,0.0,0.0,0.0,2.5,Spring,Southeast
2009,0.1,0.0,0.3,0.0,30.3,0.0,Spring,Southeast
2010,21.1,0.4,13.1,0.0,5.3,0.0,Spring,Southeast
2011,42.7,0.0,13.1,0.0,7.8,16.8,Spring,Southeast
2012,96.7,0.0,95.6,0.0,5.2,5.4,Spring,Southeast
2013,0.0,70.8,0.0,32.4,3.0,5.9,Spring,Southeast
2014,0.0,2.9,0.2,1.4,5.5,5.3,Spring,Southeast
2015,23.3,0.0,73.4,0.0,31.4,5.8,Spring,Southeast
2016,16.3,0.0,56.8,0.0,2.4,7.6,Spring,Southeast
2017,41.2,0.0,52.1,0.0,7.9,11.5,Spring,Southeast
2018,0.0,0.2,0.3,0.0,20.9,0.0,Spring,Southeast
2019,24.9,0.0,60.7,0.0,3.0,3.1,Spring,Southeast
2020,26.0,0.0,53.4,0.0,30.5,3.2,Spring,Southeast
2021,5.5,0.0,5.4,0.0,0.0,18.7,Spring,Southeast
2022,45.7,0.0,32.0,0.0,4.8,4.6,Spring,Southeast
1910,0.0,42.9,0.0,14.2,26.0,4.3,Summer,Southeast
1911,18.3,0.6,2.2,7.5,6.6,12.9,Summer,Southeast
1912,0.0,14.4,0.0,8.0,3.5,16.7,Summer,Southeast
1913,9.9,4.7,0.2,15.3,0.0,20.0,Summer,Southeast
1914,38.2,1.0,19.7,0.7,0.0,14.3,Summer,Southeast
1915,7.6,10.2,1.0,4.4,2.8,14.8,Summer,Southeast
1916,0.0,22.1,0.5,9.1,13.3,2.9,Summer,Southeast
1917,0.0,4.8,0.0,24.3,8.3,5.7,Summer,Southeast
1918,1.4,4.7,0.0,35.5,0.0,18.8,Summer,Southeast
1919,0.0,15.5,2.1,3.4,9.6,0.0,Summer,Southeast
